"iata","airport"
"UIT","Jaluit Airport"
"UJE","Ujae Airport"
"UJN","Uljin Airport"
"UJU","Uiju Airfield"
"UKA","Ukunda Airport (Diani Airport)"
"UKG","Ust-Kuyga Airport"
"UKH","Mukhaizna Airport"
"UKI","Ukiah Municipal Airport"
"UKK","Oskemen Airport (Ust-Kamenogorsk Airport)"
"UKN","Waukon Municipal Airport"
"UKR","Mukeiras Airport"
"UKS","Sevastopol International Airport"
"UKT","Quakertown Airport"
"UKU","Nuku Airport"
"UKX","Ust-Kut Airport"
"ULA","Capitan Jose Daniel Vazquez Airport"
"ULB","Ulei Airport"
"ULD","Ulundi Airport"
"ULE","Sule Airport"
"ULG","Olgii Airport"
"ULH","Prince Abdul Majeed bin Abdulaziz Domestic Airport"
"ULI","Ulithi Airport (FAA: TT02)"
"ULK","Lensk Airport"
"ULM","New Ulm Municipal Airport"
"ULN","Chinggis Khaan International Airport"
"ULO","Ulaangom Airport"
"ULP","Quilpie Airport"
"ULQ","Heriberto Gil Martinez"
"ULS","Mulatos Airport"
"ULU","Gulu Airport"
"ULV","Ulyanovsk Baratayevka Airport"
"ULX","Ulusaba Airstrip"
"ULY","Ulyanovsk Vostochny Airport"
"ULZ","Donoi Airport"
"UMA","Punta de Maisi Airport"
"UMC","Umba Airport"
"UMD","Uummannaq Heliport"
"UME","Umea Airport"
"UMI","Quince Mil Airport"
"UMM","Summit Airport"
"UMR","RAAF Woomera Airfield"
"UMS","Ust-Maya Airport"
"UMT","Umiat Airport"
"UMU","Orlando de Carvalho Airport"
"UMY","Sumy Airport"
"UNA","Una-Comandatuba Airport"
"UNC","Unguia Airport"
"UND","Kunduz Airport"
"UNE","Qacha's Nek Airport"
"UNG","Kiunga Airport"
"UNI","Union Island Airport"
"UNK","Unalakleet Airport"
"UNN","Ranong Airport"
"UNR","Ondorkhaan Airport"
"UNT","Baltasound Airport"
"UNU","Dodge County Airport"
"UOA","Mururoa Airport"
"UOL","Pogogul Airport"
"UOS","Franklin County Airport"
"UOX","University-Oxford Airport"
"UPB","Playa Baracoa Airport"
"UPG","Sultan Hasanuddin International Airport"
"UPL","Upala Airport"
"UPN","Ignacio Lopez Rayon International Airport"
"UPP","Upolu Airport"
"UPR","Upiara Airport"
"UPV","RAF Upavon"
"URA","Oral Ak Zhol Airport"
"URB","Castilho Airport (Urubupunga Airport)"
"URC","Urumqi Diwopu International Airport"
"URD","Burg Feuerstein Airport"
"URE","Kuressaare Airport"
"URG","Rubem Berta International Airport"
"URI","Uribe Airport"
"URJ","Uray Airport"
"URM","Uriman Airport"
"URN","Urgun Airport"
"URO","Rouen Airport"
"URR","Urrao Airport"
"URS","Kursk Vostochny Airport"
"URT","Surat Thani Airport"
"URU","Uroubi Airport"
"URY","Gurayat Domestic Airport"
"URZ","Uruzgan Airport"
"USA","Concord Regional Airport"
"USC","Union County Airport/Troy Shelton Field"
"USH","Ushuaia - Malvinas Argentinas International Airport"
"USI","Mabaruma Airport"
"USJ","Usharal Airport"
"USK","Usinsk Airport"
"USL","Useless Loop Airport"
"USM","Samui Airport"
"USN","Ulsan Airport"
"USO","Usino Airport"
"USQ","Usak Airport"
"USR","Ust-Nera Airport"
"USS","Sancti Spiritus Airport"
"UST","Northeast Florida Regional Airport"
"USU","Francisco B. Reyes Airport"
"UTA","Mutare Airport"
"UTB","Muttaburra Airport"
"UTC","Soesterberg Air Base"
"UTD","Nutwood Downs Airport"
"UTG","Quthing Airport"
"UTH","Udon Thani International Airport"
"UTI","Utti Airport"
"UTK","Utirik Airport"
"UTM","Tunica Municipal Airport"
"UTN","Upington Airport"
"UTO","Indian Mountain LRRS Airport"
"UTP","U-Tapao International Airport"
"UTR","Uttaradit Airport"
"UTS","Ust-Tsilma Airport"
"UTT","Mthatha Airport"
"UTU","Ustupo Airport"
"UTW","Queenstown Airport"
"UUA","Bugulma Airport"
"UUD","Baikal International Airport"
"UUK","Ugnu-Kuparuk Airport"
"UUN","Baruun-Urt Airport"
"UUS","Yuzhno-Sakhalinsk Airport (Khomutovo Airport)"
"UUU","Manumu Airport"
"UVA","Garner Field"
"UVE","Ouvea Airport (Ouloup Airp"
"UVF","Hewanorra International Airport"
"UVI","Uniao da Vitoria Airport"
"UVL","El Kharga Airport"
"UVO","Uvol Airport"
"UWA","Ware Airport"
"UYL","Nyala Airport"
"UYN","Yulin Yuyang Airport"
"UYU","Uyuni Airport (Joya Andina Airport)"
"UZC","Uzice-Ponikve Airport"
"UZM","Hope Bay Aerodrome"
"UZR","Urzhar Airport"
"UZU","Curuzu Cuatia Airport"
"VAA","Vaasa Airport"
"VAB","Yavarate Airport"
"VAC","Varrelbusch Airport"
"VAD","Moody Air Force Base"
"VAF","Valence-Chabeuil Airport"
"VAG","Major Brigadeiro Trompowsky Airport"
"VAH","Cap. Av. Vidal Villagomez Toledo Airport"
"VAI","Vanimo Airport"
"VAK","Chevak Airport"
"VAL","Valenca Airport"
"VAM","Villa International Airport"
"VAN","Van Ferit Melen Airport"
"VAO","Suavanao Airport"
"VAP","Rodelillo Airfield"
"VAR","Varna Airport"
"VAS","Sivas Airport"
"VAT","Vatomandry Airport"
"VAU","Vatukoula Airport"
"VAV","Vava'u International Airport"
"VAW","Varddo Air"
"VBA","Ann Airport"
"VBC","Mandalay Chanmyathazi Airport"
"VBG","Vandenberg Air Force Base"
"VBP","Bokpyin Airport"
"VBS","Brescia Airport (Gabriele D'Annunzio Airport)"
"VBV","Vanuabalavu Airport"
"VBY","Visby Airport"
"VCA","Can Tho International Airport"
"VCD","Victoria River Downs Airport"
"VCE","Venice Marco Polo Airport"
"VCF","Valcheta Airport"
"VCH","Vichadero Airport"
"VCL","Chu Lai International Airport"
"VCP","Viracopos-Campinas International Airport"
"VCR","Carora Airport"
"VCS","Con Dao Airport"
"VCT","Victoria Regional Airport"
"VCV","Southern California Logistics Airport"
"VDA","Ovda Airport"
"VDB","Fagernes Airport"
"VDC","Pedro Otacilio Figueiredo Airport"
"VDE","El Hierro Airport"
"VDH","Dong Hoi Airport"
"VDI","Vidalia Regional Airport"
"VDM","Gobernador Edgardo Castello Airport"
"VDO","Van Don International Airport"
"VDP","Valle de la Pascua Airport"
"VDR","Villa Dolores Airport"
"VDS","Vadso Airport"
"VDY","Vidyanagar Airport (Jindal Airport)"
"VDZ","Valdez Airport (Pioneer Field)"
"VEE","Venetie Airport"
"VEG","Maikwak Airport"
"VEL","Vernal Regional Airport"
"VER","General Heriberto Jara International Airport"
"VEV","Barakoma Airport"
"VEX","Tioga Municipal Airport"
"VEY","Vestmannaeyjar Airport"
"VFA","Victoria Falls Airport"
"VGA","Vijayawada Airport"
"VGD","Vologda Airport"
"VGO","Vigo-Peinador Airport"
"VGS","General Villegas Airport"
"VGT","North Las Vegas Airport"
"VGZ","Villa Garzon Airport"
"VHC","Henrique de Carvalho Airport"
"VHM","Vilhelmina Airport"
"VHN","Culberson County Airport"
"VHV","Verkhnevilyuysk Airport"
"VHY","Vichy - Charmeil Airport"
"VHZ","Vahitahi Airport"
"VIA","Angelo Ponzoni Municipal Airport"
"VIB","Villa Constitucion Airport"
"VIC","Vicenza Airport"
"VIE","Vienna International Airport"
"VIG","Juan Pablo Perez Alfonzo Airport"
"VIH","Rolla National Airport"
"VII","Vinh International Airport"
"VIJ","Virgin Gorda Airport"
"VIL","Dakhla Airport"
"VIN","Havryshivka Vinnytsia International Airport"
"VIQ","Viqueque Airport"
"VIR","Virginia Airport"
"VIS","Visalia Municipal Airport"
"VIT","Vitoria Airport"
"VIU","Viru Harbour Airport"
"VIV","Vivigani Airfield"
"VIX","Eurico de Aguiar Salles Airport"
"VJB","Xai-Xai Airport"
"VJI","Virginia Highlands Airport"
"VJQ","Gurue Airport"
"VKG","Rach Gia Airport"
"VKS","Vicksburg Municipal Airport"
"VKT","Vorkuta Airport"
"VLA","Vandalia Municipal Airport"
"VLC","Valencia Airport"
"VLD","Valdosta Regional Airport"
"VLE","Valle Airport"
"VLG","Villa Gesell Airport"
"VLI","Bauerfield International Airport"
"VLK","Volgodonsk Airport"
"VLL","Valladolid Airport"
"VLM","Lieutenant Colonel Rafael Pabon Airport"
"VLN","Arturo Michelena International Airport"
"VLP","Vila Rica Municipal Airport"
"VLR","Vallenar Airport"
"VLS","Valesdir Airport"
"VLU","Velikiye Luki Airport"
"VLV","Dr. Antonio Nicolas Briceno Airport"
"VLY","Anglesey Airport / RAF Valley"
"VME","Villa Reynolds Airport"
"VMI","Dr. Juan Plate Airport"
"VMU","Baimuru Airport"
"VNA","Salavan Airport"
"VNC","Venice Municipal Airport"
"VND","Vangaindrano Airport"
"VNE","Meucon Airport"
"VNO","Vilnius Airport"
"VNR","Vanrook Airport"
"VNS","Lal Bahadur Shastri Airport"
"VNT","Ventspils International Airport"
"VNX","Vilankulo Airport"
"VNY","Van Nuys Airport"
"VOD","Vodochody Airport"
"VOG","Volgograd International Airport"
"VOH","Vohemar Airport"
"VOI","Voinjama Airport (Tenebu Airport)"
"VOK","Volk Field Air National Guard Base"
"VOL","Nea Anchialos National Airport"
"VOT","Votuporanga Airport (Domingos Pignatari Airport)"
"VOZ","Voronezh International Airport (Chertovitskoye Airport)"
"VPE","Ondjiva Pereira Airport"
"VPG","Vipingo Airport"
"VPN","Vopnafjorour Airport"
"VPS","Destin-Fort Walton Beach Airport / Eglin Air Force Base"
"VPY","Chimoio Airport"
"VPZ","Porter County Regional Airport"
"VQQ","Cecil Airport"
"VQS","Antonio Rivera Rodriguez Airport"
"VRA","Juan Gualberto Gomez Airport"
"VRB","Vero Beach Regional Airport"
"VRC","Virac Airport"
"VRE","Vredendal Airport"
"VRI","Varandey Airport"
"VRK","Varkaus Airport"
"VRL","Vila Real Airport"
"VRN","Verona Villafranca Airport"
"VRO","Kawama Airport"
"VRS","Roy Otten Memorial Airfield"
"VRU","Vryburg Airport"
"VSA","Carlos Rovirosa Perez International Airport"
"VSE","Viseu Airport"
"VSF","Hartness State Airport"
"VSG","Luhansk International Airport"
"VTB","Vitebsk Vostochny Airport"
"VTE","Wattay International Airport"
"VTF","Vatulele Airport"
"VTG","Vung Tau Airport"
"VTL","Vittel - Champ-de-Courses Airport"
"VTM","Nevatim Airbase"
"VTN","Miller Field"
"VTU","Hermanos Ameijeiras Airport"
"VTZ","Visakhapatnam Airport"
"VUP","Alfonso Lopez Pumarejo Airport"
"VUS","Veliky Ustyug Airport"
"VUU","Mvuu Camp Airport"
"VVB","Mahanoro Airport"
"VVC","La Vanguardia Airport"
"VVI","Viru Viru International Airport"
"VVK","Vastervik Airport"
"VVN","Las Malvinas Airport"
"VVO","Vladivostok International Airport"
"VVZ","Takhamalt Airport"
"VXC","Lichinga Airport"
"VXE","Cesaria Evora Airport"
"VXO","Vaxjo Smaland Airport"
"VYD","Vryheid Airport"
"VYI","Vilyuysk Airport"
"VYS","Illinois Valley Regional Airport (Walter A. Duncan Field)"
"WAA","Wales Airport"
"WAC","Wacca Airport"
"WAD","Andriamena Airport"
"WAE","Wadi al-Dawasir Domestic Airport"
"WAF","Wana Airport"
"WAG","Whanganui Airport"
"WAH","Harry Stern Airport"
"WAI","Ambalabe Airport"
"WAJ","Wawoi Falls Airport"
"WAK","Ankazoabo Airport"
"WAL","Wallops Flight Facility"
"WAM","Ambatondrazaka Airport"
"WAN","Waverney Airport"
"WAO","Wabo Airport"
"WAP","Alto Palena Airfield"
"WAQ","Antsalova Airport"
"WAR","Waris Airport"
"WAT","Waterford Airport"
"WAU","Wauchope Airport"
"WAV","Wave Hill Airport"
"WAW","Warsaw Chopin Airport"
"WAX","Zuwarah Airport"
"WAY","Greene County Airport"
"WAZ","Warwick Airport"
"WBA","Wahai Airport"
"WBB","Stebbins Airport"
"WBC","Wapolu Airport"
"WBD","Befandriana Airport"
"WBE","Ankaizina Airport"
"WBG","Schleswig Air Base"
"WBK","West Branch Community Airport"
"WBM","Wapenamanda Airport"
"WBO","Antsoa Airport"
"WBQ","Beaver Airport"
"WBR","Roben-Hood Airport"
"WBU","Boulder Municipal Airport"
"WBW","Wilkes-Barre Wyoming Valley Airport"
"WCA","Gamboa Airport"
"WCH","Chaiten Airfield"
"WCR","Chandalar Lake Airport"
"WDA","Wadi Ain Airport"
"WDG","Enid Woodring Regional Airport"
"WDH","Hosea Kutako International Airport"
"WDI","Wondai Airport"
"WDN","Waldronaire Airport"
"WDR","Barrow County Airport"
"WDS","Shiyan Wudangshan Airport"
"WEA","Parker County Airport"
"WED","Wedau Airport"
"WEF","Weifang Airport"
"WEH","Weihai Dashuibo Airport"
"WEI","Weipa Airport"
"WEL","Welkom Airport"
"WEP","Weam Airport"
"WET","Waghete Airport"
"WEW","Wee Waa Airport"
"WFB","Ketchikan Harbor Seaplane Base"
"WFI","Fianarantsoa Airport"
"WFK","Northern Aroostook Regional Airport"
"WGA","Wagga Wagga Airport"
"WGC","Warangal Airport"
"WGE","Walgett Airport"
"WGN","Shaoyang Wugang Airport"
"WGO","Winchester Regional Airport"
"WGP","Mau Hau Airport (Umbu Mehang Kunda Airport)"
"WGT","Wangaratta Airport"
"WGU","Wagau Airport"
"WGY","Wagny Airport"
"WHA","Wuhu Airport"
"WHD","Hyder Seaplane Base"
"WHF","Wadi Halfa Airport"
"WHK","Whakatane Airport"
"WHL","Welshpool Airport"
"WHO","Franz Josef Glacier Aerodrome"
"WHP","Whiteman Airport"
"WHS","Whalsay Airstrip"
"WHT","Wharton Regional Airport"
"WIB","Wilbarger County Airport (FAA: F05)"
"WIC","Wick Airport"
"WIE","Wiesbaden Army Airfield"
"WIK","Waiheke Island Aerodrome"
"WIL","Wilson Airport"
"WIN","Winton Airport"
"WIO","Wilcannia Airport"
"WIR","Wairoa Aerodrome"
"WIT","Wittenoom Airport"
"WIU","Witu Airport"
"WJA","Woja Airport"
"WJF","General William J. Fox Airfield"
"WJR","Wajir Airport"
"WJU","Wonju Airport"
"WKA","Wanaka Airport"
"WKB","Warracknabeal Airport"
"WKF","Air Force Base Waterkloof"
"WKI","Hwange Town Airport"
"WKJ","Wakkanai Airport"
"WKK","Aleknagik Airport"
"WKL","Waikoloa Heliport"
"WKN","Wakunai Airport"
"WKR","Walker's Cay Airport"
"WLA","Wallal Airport"
"WLC","Walcha Airport"
"WLD","Strother Field"
"WLE","Miles Airport"
"WLG","Wellington International Airport"
"WLH","Walaha Airport"
"WLK","Selawik Airport"
"WLL","Wollogorang Airport"
"WLO","Waterloo Airport"
"WLP","West Angelas Airport"
"WLR","Loring Seaplane Base"
"WLS","Hihifo Airport"
"WLW","Willows-Glenn County Airport"
"WMA","Mandritsara Airport"
"WMB","Warrnambool Airport"
"WMC","Winnemucca Municipal Airport"
"WMD","Mandabe Airport"
"WME","Mount Keith Airport"
"WMH","Ozark Regional Airport"
"WMI","Warsaw Modlin Airport"
"WMK","Meyers Chuck Seaplane Base"
"WML","Malaimbandy Airport"
"WMN","Maroantsetra Airport"
"WMO","White Mountain Airport"
"WMP","Mampikony Airport"
"WMR","Mananara Nord Airport"
"WMT","Zunyi Maotai Airport"
"WMV","Madirovalo Airport"
"WMX","Wamena Airport"
"WNA","Napakiak Airport"
"WND","Windarra Airport"
"WNE","Wora na Yeno Airport"
"WNH","Wenshan Puzhehei Airport"
"WNN","Wunnummin Lake Airport"
"WNP","Naga Airport"
"WNR","Windorah Airport"
"WNS","Nawabshah Airport"
"WNU","Wanuma Airport"
"WNZ","Wenzhou Longwan International Airport"
"WOA","Wonenara Airport"
"WOE","Woensdrecht Air Base"
"WOL","Illawarra Regional Airport"
"WON","Wondoola Airport"
"WOR","Moramba Airport"
"WOS","Wonsan Kalma International Airport"
"WOT","Wang-an Airport"
"WOW","Willow Airport"
"WPA","Cabo Juan Roman Airfield"
"WPB","Port Berge Airport"
"WPC","Pincher Creek Airport"
"WPK","Wrotham Park Airport"
"WPL","Powell Lake Water Aerodrome"
"WPM","Wipim Airport"
"WPO","North Fork Valley Airport"
"WPR","Capitan Fuentes Martinez Airport"
"WPU","Guardiamarina Zanartu Airport"
"WRA","Warder Airport"
"WRB","Robins Air Force Base"
"WRE","Whangarei Airport"
"WRG","Wrangell Airport"
"WRI","McGuire Air Force Base"
"WRL","Worland Municipal Airport"
"WRN","Windarling Airport"
"WRO","Copernicus Airport Wroclaw"
"WRT","Warton Aerodrome"
"WRW","Warrawagine Airport"
"WRY","Westray Airport"
"WRZ","Weerawila Airport"
"WSA","Wasua Airport"
"WSB","Steamboat Bay Seaplane Base"
"WSD","Condron Army Airfield"
"WSF","Cape Sarichef Airport"
"WSG","Washington County Airport"
"WSH","Brookhaven Airport"
"WSK","Chongqing Wushan Airport"
"WSM","Wiseman Airport"
"WSN","South Naknek Airport"
"WSO","Washabo Airport"
"WSP","Waspam Airport"
"WSR","Wasior Airport"
"WST","Westerly State Airport"
"WSU","Wasu Airport"
"WSX","Westsound Seaplane Base"
"WSY","Whitsunday Airport"
"WSZ","Westport Airport"
"WTA","Tambohorano Airport"
"WTB","Toowoomba Wellcamp Airport"
"WTD","West End Airport"
"WTE","Wotje Airport"
"WTK","Noatak Airport"
"WTL","Tuntutuliak Airport"
"WTN","RAF Waddington"
"WTO","Wotho Airport"
"WTP","Woitape Airport"
"WTR","Whiteriver Airport"
"WTS","Tsiroanomandidy Airport"
"WTT","Wantoat Airport"
"WTZ","Whitianga Aerodrome"
"WUA","Wuhai Airport"
"WUD","Wudinna Airport"
"WUG","Wau Airport"
"WUH","Wuhan Tianhe International Airport"
"WUI","Murrin Murrin Airport"
"WUM","Wasum Airport"
"WUN","Wiluna Airport"
"WUS","Wuyishan Airport"
"WUT","Xinzhou Wutaishan Airport"
"WUU","Wau Airport"
"WUV","Wuvulu Island Airport"
"WUX","Sunan Shuofang International Airport"
"WUZ","Wuzhou Xijiang Airport"
"WVB","Walvis Bay Airport"
"WVI","Watsonville Municipal Airport"
"WVK","Manakara Airport"
"WVL","Waterville Robert LaFleur Airport"
"WVN","JadeWeserAirport"
"WWA","Wasilla Airport"
"WWD","Cape May Airport"
"WWI","Woodie Woodie Airport"
"WWK","Wewak Airport"
"WWP","North Whale Seaplane Base"
"WWR","West Woodward Airport"
"WWT","Newtok Airport"
"WWY","West Wyalong Airport"
"WXN","Wanzhou Wuqiao Airport"
"WYA","Whyalla Airport"
"WYB","Yes Bay Lodge Seaplane Base"
"WYE","Yengema Airport"
"WYN","Wyndham Airport"
"WYS","Yellowstone Airport"
"WZQ","Urad Middle Banner Airport"
"XAI","Xinyang Minggang Airport"
"XAL","Alamos Airport"
"XAP","Serafin Enoss Bertaso Airport"
"XAR","Aribinda Airport"
"XAU","Saul Airport"
"XBB","Blubber Bay Seaplane Base"
"XBE","Bearskin Lake Airport"
"XBG","Bogande Airport"
"XBJ","Birjand International Airport"
"XBK","Bourg – Ceyzériat Airport"
"XBL","Bedele Airport (Buno Bedele Airport)"
"XBN","Biniguni Airport"
"XBO","Boulsa Airport"
"XBR","Brockville Regional Tackaberry Airport"
"XCH","Christmas Island Airport"
"XCL","Cluff Lake Airport"
"XCM","Chatham-Kent Airport"
"XCN","Coron Airport"
"XCO","Colac Airport"
"XCZ","Charleville-Mézières Aerodrome"
"XDE","Diebougou Airport"
"XDJ","Djibo Airport"
"XEN","Xingcheng Airport"
"XES","Grand Geneva Resort Airport"
"XFN","Xiangyang Liuji Airport"
"XFW","Hamburg Finkenwerder Airport"
"XGA","Gaoua Airport (Amilcar Cabral Airport)"
"XGG","Gorom Gorom Airport"
"XGL","Granville Lake Airport"
"XGN","Xangongo Airport"
"XGR","Kangiqsualujjuaq (Georges River) Airport"
"XIC","Xichang Qingshan Airport"
"XIG","Xinguara Municipal Airport"
"XIJ","Ahmad al-Jaber Air Base"
"XIL","Xilinhot Airport"
"XIN","Xingning Air Base"
"XIY","Xi'an Xianyang International Airport"
"XJD","Al Udeid Air Base"
"XJM","Mangla Airport"
"XKA","Kantchari Airport"
"XKH","Xieng Khouang Airport"
"XKS","Kasabonika Airport"
"XKY","Kaya Airport"
"XLB","Lac Brochet Airport"
"XLG","Aérodrome de Lognes - Émerainville"
"XLO","Long Xuyen Airport"
"XLS","Saint-Louis Airport"
"XLU","Leo Airport"
"XLW","Lemwerder Airport"
"XMA","Maramag Airport"
"XMC","Mallacoota Airport"
"XMD","Madison Municipal Airport"
"XMG","Mahendranagar Airport"
"XMH","Manihi Airport"
"XMI","Masasi Airport"
"XML","Minlaton Airport"
"XMN","Xiamen Gaoqi International Airport"
"XMP","Macmillan Pass Airport"
"XMS","Edmundo Carvajal Airport"
"XMU","Moulins – Montbeugny Airport"
"XMY","Yam Island Airport"
"XNA","Northwest Arkansas Regional Airport"
"XNG","Quang Ngai Airport"
"XNN","Xining Caojiabao Airport"
"XNT","Xingtai Dalian Airport"
"XNU","Nouna Airport"
"XPA","Pama Airport"
"XPK","Pukatawagan Airport"
"XPL","Soto Cano Air Base"
"XPP","Poplar River Airport"
"XPR","Pine Ridge Airport"
"XQP","Quepos La Managua Airport"
"XQU","Qualicum Beach Airport"
"XRH","RAAF Base Richmond"
"XRQ","Xinbarag Youqi Baogede Airport"
"XRR","Ross River Airport"
"XRY","Jerez Airport (La Parra Airport)"
"XSB","Sir Bani Yas Airport"
"XSC","South Caicos Airport"
"XSD","Tonopah Test Range Airport"
"XSE","Sebba Airport"
"XSI","South Indian Lake Airport"
"XSO","Siocon Airport"
"XSP","Seletar Airport"
"XTG","Thargomindah Airport"
"XTL","Tadoule Lake Airport"
"XTO","Taroom Airport"
"XTR","Tara Airport"
"XUZ","Xuzhou Guanyin Airport"
"XVL","Vinh Long Airport"
"XWA","Williston Basin International Airport"
"XYA","Yandina Airport"
"XYE","Ye Airport"
"XYR","Edwaki Airport"
"XZA","Zabre Airport"
"YAA","Anahim Lake Airport"
"YAB","Arctic Bay Airport"
"YAC","Cat Lake Airport"
"YAD","Moose Lake Airport"
"YAG","Fort Frances Municipal Airport"
"YAH","La Grande-4 Airport"
"YAI","General Bernardo O'Higgins Airport"
"YAJ","Lyall Harbour Seaplane Base"
"YAK","Yakutat Airport"
"YAL","Alert Bay Airport"
"YAM","Sault Ste. Marie Airport"
"YAN","Yangambi Airport"
"YAO","Yaounde Airport"
"YAP","Yap International Airport"
"YAQ","Maple Bay Seaplane Base"
"YAR","La Grande-3 Airport"
"YAS","Yasawa Island Airport"
"YAT","Attawapiskat Airport"
"YAU","Kattiniq/Donaldson Airport"
"YAV","Mayne Island Water Aerodrome (Miner's Bay Seaplane Base)"
"YAX","Angling Lake/Wapekeka Airport"
"YAY","St. Anthony Airport"
"YAZ","Tofino/Long Beach Airport"
"YBA","Banff Airport"
"YBB","Kugaaruk Airport"
"YBC","Baie-Comeau Airport"
"YBE","Uranium City Airport"
"YBF","Bamfield Water Aerodrome"
"YBG","Canadian Forces Base Bagotville"
"YBH","Bull Harbour Waterdrome"
"YBI","Black Tickle Airport"
"YBJ","Baie-Johan-Beetz Seaplane Base"
"YBK","Baker Lake Airport"
"YBL","Campbell River Airport"
"YBO","Bob Quinn Lake Airport"
"YBP","Yibin Caiba Airport"
"YBQ","Telegraph Harbour Seaplane Base"
"YBR","Brandon Municipal Airport (McGill Field)"
"YBS","Opapimiskan Lake Airport"
"YBT","Brochet Airport"
"YBV","Berens River Airport"
"YBW","Bedwell Harbour Water Aerodrome"
